train_mask_source,gt,gt_mild_perturb,gt_moderate_perturb,pred
gt,0.9439124487004104,0.9261285909712722,0.8987688098495212,0.9699042407660738
gt_mild_perturb,0.9398084815321476,0.920656634746922,0.9015047879616964,0.975376196990424
gt_moderate_perturb,0.9671682626538988,0.9562243502051984,0.950752393980848,0.948016415868673
pred,0.8714090287277702,0.853625170998632,0.8290013679890561,0.9493844049247606
