model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L3,0.9967577004614041,roc_auc,5.396345615386963,216.5773003101349,0.0003924369812011719,0.033235788345336914,3,True,157
LightGBM_r130_BAG_L2,0.9958224217483476,roc_auc,5.257960796356201,76.030202627182,2.59709095954895,6.337058067321777,2,True,138
CatBoost_r137_BAG_L2,0.9956353660057364,roc_auc,2.690739631652832,207.20992588996887,0.029869794845581055,137.51678133010864,2,True,130
CatBoost_BAG_L2,0.9943883277216611,roc_auc,2.690250873565674,179.6814522743225,0.02938103675842285,109.98830771446228,2,True,114
CatBoost_r167_BAG_L2,0.994388327721661,roc_auc,2.689952850341797,92.50928354263306,0.0290830135345459,22.816138982772827,2,True,153
LightGBM_BAG_L2,0.9938895124080308,roc_auc,4.883277893066406,75.09738612174988,2.2224080562591553,5.404241561889648,2,True,111
LightGBM_r161_BAG_L2,0.9938895124080308,roc_auc,4.947410583496094,78.68142986297607,2.2865407466888428,8.988285303115845,2,True,147
LightGBMLarge_BAG_L2,0.9937648085796232,roc_auc,4.74812650680542,78.59601521492004,2.087256669998169,8.902870655059814,2,True,120
CatBoost_r69_BAG_L2,0.9936401047512159,roc_auc,2.686964988708496,115.77301406860352,0.026095151901245117,46.079869508743286,2,True,144
CatBoost_r50_BAG_L2,0.9936401047512158,roc_auc,2.6860814094543457,76.95691108703613,0.025211572647094727,7.263766527175903,2,True,140
CatBoost_r70_BAG_L2,0.9936401047512158,roc_auc,2.6903977394104004,98.62571620941162,0.029527902603149414,28.93257164955139,2,True,149
CatBoost_r9_BAG_L2,0.9933906970944009,roc_auc,2.6961517333984375,213.76098895072937,0.03528189659118652,144.06784439086914,2,True,125
LightGBM_r131_BAG_L2,0.9933906970944008,roc_auc,4.991091966629028,77.59690833091736,2.3302221298217773,7.903763771057129,2,True,123
CatBoost_r13_BAG_L2,0.9932659932659933,roc_auc,2.6976449489593506,291.1409065723419,0.03677511215209961,221.4477620124817,2,True,132
WeightedEnsemble_L2,0.9931412894375857,roc_auc,2.3352303504943848,11.782890796661377,0.0003383159637451172,0.02986884117126465,2,True,109
CatBoost_r177_BAG_L2,0.9928918817807706,roc_auc,2.6894078254699707,177.8009946346283,0.028537988662719727,108.10785007476807,2,True,121
XGBoost_r194_BAG_L2,0.9923930664671405,roc_auc,2.7689924240112305,72.69022512435913,0.10812258720397949,2.9970805644989014,2,True,142
NeuralNetFastAI_r4_BAG_L1,0.9922683626387331,roc_auc,0.03670048713684082,6.133559942245483,0.03670048713684082,6.133559942245483,1,True,96
NeuralNetFastAI_r143_BAG_L1,0.9920189549819178,roc_auc,0.03542947769165039,7.319928169250488,0.03542947769165039,7.319928169250488,1,True,39
XGBoost_r89_BAG_L2,0.9919566030677143,roc_auc,2.6857879161834717,71.5174515247345,0.024918079376220703,1.8243069648742676,2,True,136
NeuralNetFastAI_r88_BAG_L1,0.9912707320114729,roc_auc,0.03585219383239746,5.43661093711853,0.03585219383239746,5.43661093711853,1,True,66
XGBoost_r33_BAG_L2,0.9911460281830652,roc_auc,2.6867523193359375,74.19283175468445,0.025882482528686523,4.499687194824219,2,True,128
XGBoost_BAG_L2,0.9910836762688614,roc_auc,2.6793456077575684,71.1987407207489,0.018475770950317383,1.5055961608886719,2,True,118
NeuralNetFastAI_r187_BAG_L1,0.9908966205262502,roc_auc,0.03545212745666504,7.693378925323486,0.03545212745666504,7.693378925323486,1,True,102
NeuralNetFastAI_r102_BAG_L1,0.9905225090410275,roc_auc,0.034903526306152344,5.66422963142395,0.034903526306152344,5.66422963142395,1,True,22
XGBoost_r98_BAG_L2,0.9902731013842125,roc_auc,2.784714937210083,84.52758288383484,0.12384510040283203,14.83443832397461,2,True,156
NeuralNetFastAI_r103_BAG_L1,0.9894001745853598,roc_auc,0.03656888008117676,8.13132905960083,0.03656888008117676,8.13132905960083,1,True,36
NeuralNetFastAI_r127_BAG_L1,0.9892754707569522,roc_auc,0.03593158721923828,5.406065940856934,0.03593158721923828,5.406065940856934,1,True,91
NeuralNetFastAI_r111_BAG_L1,0.9885272477865071,roc_auc,0.036253929138183594,5.321761846542358,0.036253929138183594,5.321761846542358,1,True,62
NeuralNetFastAI_r156_BAG_L2,0.9884025439580996,roc_auc,2.702641010284424,76.3524112701416,0.04177117347717285,6.659266710281372,2,True,150
NeuralNetFastAI_r143_BAG_L2,0.9884025439580996,roc_auc,2.7035584449768066,78.1937370300293,0.042688608169555664,8.500592470169067,2,True,148
