stage,n_rows,n_neg,n_pos,pos_ratio,imbalance_ratio_neg_to_pos
train_original,220,119,101,0.4590909090909091,1.1782178217821782
fit_input_before_resample,220,119,101,0.4590909090909091,1.1782178217821782
fit_train_after_resample,220,119,101,0.4590909090909091,1.1782178217821782
test::LymphUs_test,158,76,82,0.5189873417721519,0.926829268292683
