stage,n_rows,n_neg,n_pos,pos_ratio,imbalance_ratio_neg_to_pos
train_original,180,99,81,0.45,1.2222222222222223
fit_input_before_resample,180,99,81,0.45,1.2222222222222223
fit_train_after_resample,180,99,81,0.45,1.2222222222222223
test::LymphUs_test,158,76,82,0.5189873417721519,0.926829268292683
