model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.8451116730238514,roc_auc,2.4652576446533203,32.266223669052124,0.0006489753723144531,0.03750133514404297,2,True,4
WeightedEnsemble_L3,0.8451095330379582,roc_auc,2.46518874168396,32.29382634162903,0.0005800724029541016,0.06510400772094727,3,True,8
CatBoost_BAG_L1,0.8421649124488972,roc_auc,0.02564525604248047,14.363487720489502,0.02564525604248047,14.363487720489502,1,True,2
LightGBM_BAG_L1,0.8384747207746407,roc_auc,2.4149839878082275,9.824408531188965,2.4149839878082275,9.824408531188965,1,True,1
CatBoost_BAG_L2,0.8363715426387909,roc_auc,2.4907643795013428,41.931336402893066,0.026155710220336914,9.702614068984985,2,True,6
XGBoost_BAG_L1,0.8360612446842751,roc_auc,0.02397942543029785,8.040826082229614,0.02397942543029785,8.040826082229614,1,True,3
XGBoost_BAG_L2,0.8327720863664066,roc_auc,2.489739179611206,40.25572848320007,0.025130510330200195,8.027006149291992,2,True,7
LightGBM_BAG_L2,0.8284852666251223,roc_auc,3.9969568252563477,41.62643766403198,1.5323481559753418,9.397715330123901,2,True,5
