original_shape2D_Elongation,original_shape2D_MajorAxisLength,original_shape2D_MaximumDiameter,original_shape2D_MeshSurface,original_shape2D_MinorAxisLength,original_shape2D_Perimeter,original_shape2D_PerimeterSurfaceRatio,original_shape2D_PixelSurface,original_shape2D_Sphericity,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_JointAverage,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_Imc1,original_glcm_Imc2,original_glcm_Idm,original_glcm_Idmn,original_glcm_Id,original_glcm_Idn,original_glcm_InverseVariance,original_glcm_MaximumProbability,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
-0.013101894629838157,-0.002235354560932597,-0.0008414257088264307,0.0002643864157197812,-0.0015687572083006693,0.014878667320514636,-0.00574995307244914,0.01423515104099076,0.015190997955483673,0.000347927065615292,-0.005575187152825071,-0.015043086052287822,0.0009831933174253968,-0.0010837824581679011,-0.013744583578014393,-0.12120792290090897,0.0,0.0,0.0,0.0008690445737447563,0.0,0.0,-0.00267786776551625,0.0,0.0,-0.001644101946578576,0.0,0.0,-0.0015243433745369967,-0.01978642443229326,-0.015648855899621384,0.0009359937411811465,0.0,0.0,0.0,0.0006839670094669312,0.002264686879216031,0.0,0.0,0.0,0.0,-0.00612793089913655,0.0,-0.003437050426039839,0.0,-0.006578249240018519,0.0,0.0,0.0,-0.0002910531511064937,0.0,0.0001823774796509738,0.0,-0.00010567522424604917,-0.00042407367150227627,0.00021261306458183755,-0.0006527037581201806,0.0,-0.0006087646127139664,-0.0002514453270479323,0.0,-0.013986389058540327,0.0019052135010792686,-0.0046614369277387015,0.0,0.0,-0.007583687864029865,0.0,-0.0021186538658361344,0.0,0.0,0.0,0.0,-0.0027356766680819806,-0.002838313324985456,0.0,-0.004897563087728374,-0.0022076654905306046,-0.0028109386965738782,-0.0008688391486708814,0.0,-0.02328029574771871,-0.005499221322362302
-0.009321741655279802,0.0026978417114703777,0.0002879959667804405,0.001984732923370703,0.012077408040892345,-0.00478481137105733,0.09358240356108849,0.011249234429441732,0.026845449369198027,-0.0005866708324278798,0.006502005910009087,-0.013650035815610258,0.0006842763662444233,-0.0002488465115085692,-0.005465751009180092,-0.10335618475333844,0.0,0.0,0.0,-0.0004597127961509924,0.0,0.0,0.002811761153792063,0.0,0.0,-0.0008012438406359102,0.0,0.0,-0.0009762648578495372,-0.010153105040055203,-0.010521992240888673,0.00038037090187539445,0.0,0.0,0.0,0.00025153963110439363,0.002264686879216031,0.0,0.0,0.0,0.0,-0.004878537808089751,0.0,-0.0027815256450972547,0.0,0.0019843746634558407,0.0,0.0,0.0,0.00022540377589838495,0.0,-0.00013026962832212395,0.0,-4.450510413256547e-05,4.915166396387667e-05,-0.0003638411135838674,0.0014565704087858033,0.0,-0.0006169370411660087,-0.000451524410970831,0.0,-0.014219709741711424,-0.002892139043724611,0.013114945177697632,0.0,0.0,-0.005146023101768202,0.0,0.004059911814487221,0.0,0.0,0.0,0.0,0.0028724605014860813,0.0012164311880457715,0.0,0.005511238450922778,0.0008793346576843268,0.004693684863457171,0.00043991595506769445,0.0,-0.0030289390693340776,-0.0059300186553783
-0.015199304128918617,-0.002235354560932597,-0.004978388079362978,-0.016384543971313583,-0.007416675558333815,-0.00808957884076718,-0.003496654741330959,0.003195068913711499,-0.009920901576194187,0.0010293710803637207,-0.0016251165394713944,-0.0243040666753068,0.0009831933174253968,-0.0008570196105903007,-0.012902996692448298,-0.0978972177385818,0.0,0.0,0.0,0.0008690445737447563,0.0,0.0,-0.0007069878264957269,0.0,0.0,-0.0020335409907971313,0.0,0.0,0.0020324578327159957,0.005233780847184304,-0.013687311428351378,-0.001097371972419275,0.0,0.0,0.0,-0.003427259655980969,-0.00057005611814439,0.0,0.0,0.0,0.0,0.0007569881156340023,0.0,0.00429325454753225,0.0,-0.00307200590299051,0.0,0.0,0.0,-0.0002910531511064937,0.0,0.000616649713043743,0.0,-0.0038784113875720396,-0.004329203745670905,0.0006290333854913192,-0.0003759137237773444,0.0,0.003539054940167528,0.0002077157049526397,0.0,0.01052012586607883,0.002142914306778788,-0.0019506946699321237,0.0,0.0,0.01246398818979086,0.0,-0.003032355987951844,0.0,0.0,0.0,0.0,-0.0007222500403000634,-0.0033116972173889187,0.0,-0.0011380313826950383,-0.00034865820787636923,-0.0016405398112318832,0.0007136893006939383,0.0,-0.01928815951660675,0.004472254534965239
0.07875342206608014,0.0010228796584786704,0.0002879959667804405,0.0022769724460550054,-0.004392307801345545,-0.008260163376320365,-0.0015228573203877355,0.01717363698184192,-0.005988790334205978,-0.0005866708324278798,-0.004579490514847451,-0.00851588189302462,-0.00813415939923311,0.001753408259750759,0.01584559786248338,-0.06703620304316972,0.0,0.0,0.0,0.0032167865478643773,0.0,0.0,-0.00041337309738815345,0.0,0.0,-0.0006555304257190544,0.0,0.0,-0.0015243433745369967,-0.01639197474221163,-0.010062797124274736,0.002749152503647291,0.0,0.0,0.0,-0.0005570494512580059,-0.0018872390660133592,0.0,0.0,0.0,0.0,-0.00612793089913655,0.0,-0.003066162986565647,0.0,0.003732031829038406,0.0,0.0,0.0,0.0006268504899168227,0.0,0.00022130530820509364,0.0,-0.00019338599158072692,0.0005659325858339303,-0.0003638411135838674,0.003911472110326823,0.0,-0.0006599565357556151,-0.000451524410970831,0.0,-0.013930102025561988,0.0035308656578640846,-0.0027753111867449567,0.0,0.0,-0.00878144622462538,0.0,0.0022417452012451038,0.0,0.0,0.0,0.0,0.00044341169863386343,0.0009611855658648034,0.0,-0.0005707479937112547,9.120531603111404e-05,0.000694694565939036,-0.003188397708991204,0.0,0.022495526482591177,-0.00596109580399452
-0.013841258815210726,0.0026978417114703777,0.0006398311075272006,0.0033176331526878367,-0.016807205309593846,-0.00696378931648696,0.001313087424049051,0.02081689769201014,0.004055188602273924,0.0009724556099951901,-0.00270493086582944,-0.00950135323118176,0.0011590985302416257,-0.0008570196105903007,-0.01055241119962531,-0.09817565254835203,0.0,0.0,0.0,-0.0007288760941085053,0.0,0.0,-0.00267786776551625,0.0,0.0,-0.0013751370749268265,0.0,0.0,-0.0015243433745369967,-0.02397018317757071,-0.011688218550216825,-0.003223144314620961,0.0,0.0,0.0,-0.003427259655980969,-0.00057005611814439,0.0,0.0,0.0,0.0,0.0013689939195827268,0.0,-8.958106826609915e-05,0.0,0.0008955773435179472,0.0,0.0,0.0,-0.0005611174523034365,0.0,0.0001823774796509738,0.0,-0.0016787832358653974,-0.004025358913379427,0.0005757037470352995,-0.0003759137237773444,0.0,-0.001769527470083765,0.0002077157049526397,0.0,0.01915882672134978,0.0024053589867316085,0.009269382792579382,0.0,0.0,0.01246398818979086,0.0,0.0020376714481269743,0.0,0.0,0.0,0.0,-0.0027356766680819806,-0.0033116972173889187,0.0,-0.004897563087728374,-0.0022076654905306046,-0.0004330110262413229,0.0007136893006939383,0.0,0.009428549195721796,0.00240558726532238
0.0771709137273306,0.0010228796584786704,0.0004746251623101827,0.0024743324234860167,0.012077408040892345,-0.005056758189094609,0.0014017392155649699,0.020534062611852328,-0.006952348639732422,-0.0010697011709947092,0.005162471638901646,-0.005264243818784193,0.0031623399504752316,0.00010650798663466552,0.01707418656322058,-0.08244963776645417,0.0,0.0,0.0,-0.0026979500078862513,0.0,0.0,0.0004340417522575611,0.0,0.0,-0.0006891030803231652,0.0,0.0,-0.0015243433745369967,-0.01144241215477294,-0.009555733249591046,0.002749152503647291,0.0,0.0,0.0,0.0003440599551887683,0.002264686879216031,0.0,0.0,0.0,0.0,-0.006561382981014797,0.0,-0.0035280762117190357,0.0,-0.0024576855202838965,0.0,0.0,0.0,0.0006201824472827459,0.0,-0.00015807522014649544,0.0,-0.0011436867259661068,0.00010401936068054169,-0.0006579471394689136,0.003911472110326823,0.0,-0.0006691258141116184,-0.000451524410970831,0.0,0.016072346712080566,-0.00017040497834328958,0.008085630831544791,0.0,0.0,-0.005146023101768202,0.0,0.0019577867965595167,0.0,0.0,0.0,0.0,0.00044341169863386343,0.0009577469160695458,0.0,0.0006670860208881291,-0.0013634187419761486,0.0031990750131512644,0.002619040975242774,0.0,0.01723052061370575,0.0022625462543775753
-0.02034579835886176,0.0026978417114703777,0.0021019860779532573,0.009145791996014703,-0.016807205309593846,-0.00808957884076718,0.003618044731714249,0.018064284035871434,-0.009896667263345784,0.0032676718620728118,-0.0016251165394713944,-0.009201029283115409,0.0040613685604147295,-0.001425138514912598,0.017329264495503576,-0.09315357546558634,0.0,0.0,0.0,0.0032167865478643773,0.0,0.0,-0.0007069878264957269,0.0,0.0,-0.0014087097295309371,0.0,0.0,-0.0015243433745369967,0.0206010211952136,-0.008729162449533616,-0.003223144314620961,0.0,0.0,0.0,-0.003427259655980969,-0.00057005611814439,0.0,0.0,0.0,0.0,0.0015681450680520806,0.0,0.0022792030589323573,0.0,0.004989447974711793,0.0,0.0,0.0,-0.0017886760288963596,0.0,0.000616649713043743,0.0,-0.0011436867259661068,-0.002628055858314855,0.0019056396055121755,-0.0003759137237773444,0.0,0.0035079325607280084,0.0002077157049526397,0.0,0.012961125424671368,0.00604788281162719,-0.0011231124764835086,0.0,0.0,0.01246398818979086,0.0,-0.004814731056773335,0.0,0.0,0.0,0.0,-0.0007222500403000634,-0.0033116972173889187,0.0,-0.0011380313826950383,-0.00034865820787636923,0.005047889406091951,0.002619040975242774,0.0,0.010550632463483514,0.008668156752268901
0.06993099241373632,-0.00046915288075746037,-0.0009358274517588867,-0.005150773819585819,-0.0010444488661903006,0.012801258184303417,-0.02324024970556974,-0.006784001347528812,-0.004356461689045719,0.00037808924102272274,-0.0017188987747777176,0.07241860614390093,0.0006066709062475543,0.0012767792603823158,-0.004439774014719971,-0.0936851918880265,0.0,0.0,0.0,-0.00044272833323900993,0.0,0.0,-0.00041337309738815345,0.0,0.0,-0.001805395295628599,0.0,0.0,0.008482779214936152,0.02601981110903239,0.07214280398438382,-0.001097371972419275,0.0,0.0,0.0,-0.0010257764907103978,0.0007381480235994786,0.0,0.0,0.0,0.0,0.005500522673522766,0.0,0.0026056299027654504,0.0,-0.003149650692566847,0.0,0.0,0.0,-0.00019806608517641323,0.0,0.00022130530820509364,0.0,0.0006115275090631404,0.005368747910109658,0.00023104472219515922,-0.00023753128173735174,0.0,-0.0006599565357556151,-0.0002514453270479323,0.0,-0.0026109403806978924,0.0013526987163030501,-0.0013737946292818595,0.0,0.0,-0.0026929348614897547,0.0,-0.0022184525468171893,0.0,0.0,0.0,0.0,-0.0004222968558417751,-0.002838313324985456,0.0,-0.0005779496337817668,-7.170987180634263e-05,-0.0022229431284697056,-0.0004920860506503179,0.0,-0.00640455090672927,-0.005588482636862126
-0.014545198252042205,-0.0008023874256855088,-0.0006820957107957803,-0.003527945373353953,-0.006244193128450981,-0.009522274796774916,-0.003764495972710446,-0.011805791374631315,-0.02070147799927544,-0.00038271977217682135,0.006446501822839057,0.03285135966358195,0.0006866992903357882,-0.0006383689057323379,-0.008739327636322104,-0.09888182303099714,0.0,0.0,0.0,0.0008690445737447563,0.0,0.0,0.0007423372178205132,0.0,0.0,-0.002041487359198366,0.0,0.0,-0.0063620844112021145,-0.02306826309636897,-0.016583403631549507,0.0005292297479467435,0.0,0.0,0.0,0.0003440599551887683,0.002264686879216031,0.0,0.0,0.0,0.0,-0.009254635660804348,0.0,-0.007482329937539559,0.0,-0.004556166065226742,0.0,0.0,0.0,-0.0002910531511064937,0.0,-0.0004404640807455306,0.0,-0.0036554877008310766,0.001485008923771553,-0.00024298635952209996,-0.0015166932672695849,0.0,-0.0018066209996243636,-0.000451524410970831,0.0,-0.004633283684639009,-0.002235674528932458,-0.0046614369277387015,0.0,0.0,-0.005146023101768202,0.0,-0.00040711039485792747,0.0,0.0,0.0,0.0,0.0007583625423150657,0.0012164311880457715,0.0,0.0011366383949887424,0.0010183990942828195,-0.0028109386965738782,-0.0004920860506503179,0.0,-0.02441762147528638,-0.004230458812227946
-0.01245725686030084,-0.0008023874256855088,-0.0016722510136287267,-0.005845639037032155,-0.002784244510027927,0.014878667320514636,0.003889459030604835,-0.007308069287556484,0.0225470757224385,0.0005565133772356931,0.003958957745055139,0.04313738621518414,0.0006066709062475543,0.0005345823366091785,-0.004882589888586138,-0.09357166889445333,0.0,0.0,0.0,0.0005278683973234351,0.0,0.0,0.002811761153792063,0.0,0.0,0.007549834872628686,0.0,0.0,0.008482779214936152,0.027510687840915773,0.07097958200824288,-0.0006463091867642327,0.0,0.0,0.0,-0.0005570494512580059,0.002264686879216031,0.0,0.0,0.0,0.0,-0.002312880965804577,0.0,-0.0048820768286205974,0.0,-0.003149650692566847,0.0,0.0,0.0,-0.00019806608517641323,0.0,-0.00013026962832212395,0.0,-9.680061773499175e-05,0.0019469221489249416,0.0003400770630063579,-0.0006527037581201806,0.0,-0.0006169370411660087,-0.000451524410970831,0.0,-0.0027879556232110435,-0.0009697720417123245,-0.0013737946292818595,0.0,0.0,-0.005146023101768202,0.0,-0.00019294530204387237,0.0,0.0,0.0,0.0,-0.0027356766680819806,0.001329460928952456,0.0,0.006320020439451634,-0.0022076654905306046,-0.002213502543103512,-0.0004920860506503179,0.0,-0.009140145942452731,-0.012594564590272238
