stage,n_rows,n_neg,n_pos,pos_ratio,imbalance_ratio_neg_to_pos
train_original,532,250,282,0.5300751879699248,0.8865248226950354
fit_input_before_resample,532,250,282,0.5300751879699248,0.8865248226950354
fit_train_after_resample,532,250,282,0.5300751879699248,0.8865248226950354
test::FTCPTC_test,164,86,78,0.47560975609756095,1.1025641025641026
