original_shape2D_Elongation,original_shape2D_MajorAxisLength,original_shape2D_MaximumDiameter,original_shape2D_MeshSurface,original_shape2D_MinorAxisLength,original_shape2D_Perimeter,original_shape2D_PerimeterSurfaceRatio,original_shape2D_PixelSurface,original_shape2D_Sphericity,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_JointAverage,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_Imc1,original_glcm_Imc2,original_glcm_Idm,original_glcm_Idmn,original_glcm_Id,original_glcm_Idn,original_glcm_InverseVariance,original_glcm_MaximumProbability,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_ZoneEntropy,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
-0.20963156375748085,-0.030162188157540883,-0.0006813386290393802,1.0569379816676245e-05,0.01210808384771378,-0.002546670956217885,-0.0067928956334090155,-0.0013369471910296268,0.16658617668892547,-0.02604079751219547,-0.001573700101915797,-0.015878311471419673,-8.000172216956809e-05,0.009496630798111309,-0.007149328807344483,0.004234084486856669,-0.0002386171148598013,0.00033439512461576126,0.014920635119523637,0.0016558333670216683,-0.006617511895865368,0.0013816204343537904,-0.004087719760240124,-0.014785669626725723,-0.004130748335492445,0.008310316484654585,-0.001608621496751139,-0.0007488887912087918,0.000529342913328526,-0.005073346340864187,0.001436881572427714,-0.0019653419204108615,0.027033291663983123,-0.0011226451964151687,-0.003815511153986395,0.002222855877361408,-0.002084726972330088,-0.0014211867903924195,0.0014933454082690643,0.0024273441390046703,-9.95961193009906e-05,-0.0002423659576719757,-0.00034452453790769785,0.0004551008959537207,-0.004056169524956668,0.0032904275575844056,0.0007339349121622687,-0.003548394036983504,0.002528101545270815,0.0036076923353078024,0.0035269462321619468,0.002699970120848036,0.0031099017210974773,-0.07125432936105529,0.005711820655239168,0.0007620986862619837,-0.0005969739616411759,-0.0050527215732439614,0.020946484053567006,0.0009930134860200244,0.016937300992561865,-0.00903165950730051,-0.0008310619788986928,0.04066537316762067,0.0,0.0,0.0,0.0006925408172050243,-0.00012493069438044622,-0.00102549377300964,-0.008399545727640732,-0.014416544527773693,0.0014707798967057706,-9.31110797189316e-05,-0.0006980636590195395,-0.005949660966043707,0.00576313807937633,-0.0008955874262818734,-0.006465901963420653,-0.000552524674277564,-0.00316681231517527,2.2485539624145924e-05,0.005118413999934568,-0.00139995270340941,-0.0015396608271998115,-0.012589095491360195
-0.41981459412266364,0.0015396346646730568,0.00023806376460673085,0.0009715698251566563,0.005684386016616973,-0.014592187700771357,0.004285097070573724,0.0006584581683289908,0.23444708486785706,0.01629345410495257,0.001672013538327078,0.014273442271332985,0.00077861067302497,0.00523125540711326,-0.001316518751991006,-0.0031275371308205663,-0.0018468907826394009,0.018897930835500926,0.021853320455942463,-0.0011558556982572436,0.007162492348436519,-0.021053293261216115,0.004561299695486355,-0.0006707877891755537,-0.005130830882807554,0.009306659851528822,0.006068691701979068,0.0030617586108571512,0.014486137365200954,0.011978192416181555,0.0031553799311956777,0.0008064403019948989,0.01942992064606028,-0.004731213450866677,0.0007459539408224863,0.0023630713358159666,0.00019822792780805707,-0.00020589466360033254,1.0691858537757212e-05,0.0026356826077479707,0.001420637572115432,-0.0016399623766337984,-0.0016208475856410393,0.0025584393004770695,-0.012197445180436176,0.0061278295467058555,0.0005678473373089923,0.0016700339943997943,0.007470039356752674,0.0022688877342251835,-0.006467271658295304,-0.009324275745992597,0.0007766230622867242,0.05725658084691686,0.004300019814487514,-0.007475699753590903,0.00042257669854119085,0.005555233832999961,-0.036337704204314814,0.0007630961891459024,-0.024412044090592527,0.010136496136945571,-0.0023509099967382804,-0.050072070496816244,0.0,0.0,0.0,0.00018717069943613728,0.0016713155471350415,0.0013709629310978192,-0.00115794779212852,0.012108279321904733,0.004144816195829924,0.0006219899667353063,-0.00015077465447048145,0.00946685946441638,-0.0019254258921418798,-0.006791601183795716,0.013027322060790079,-0.000993173655817099,-0.01540526319122757,0.007252944466330076,0.007099683349418011,0.02427877650041748,-0.026156472381719895,0.0026645246387885183
0.10183747110983946,-0.02957550603835585,0.0001064414014620781,-4.03443739413633e-05,0.010651315661304315,0.0014886930670062713,-0.03921358246000359,-0.0022906548204767205,-0.6095459761026343,-0.020339991513865025,-0.0012437066116445102,-0.03574053157066449,-0.001000793470553331,0.007846790969040304,6.9284616598715e-05,0.021948776142562902,-0.00017526375877868392,-0.00229491225486076,0.022995635216609613,0.003209008090311715,-0.0032532769359380487,0.0019406799650659057,-0.004285125659056835,0.03127844490238856,0.00037665814517134975,0.004743913748335656,-0.0019793641288096166,-0.0005964705655304437,-0.01398621658072862,0.019481993699661703,0.0006059298346285794,0.003389653684463863,0.029717184995594975,-0.001711785395682197,-0.002802968027562811,0.0005900927722130556,-0.000769860383943285,0.0008883102366203685,0.006212016886809481,0.002044274653564021,0.0010022493493509266,0.0006227777806055159,-0.0002582745707215293,0.00020390025040154176,-0.0036700088814859613,0.005584591307894584,0.00015446510408590752,-0.0009503884957155884,0.015211338052451746,0.004658843394096554,-0.002015965369932643,0.003109105797518238,0.00433527633331868,-0.10232667879951514,0.0024734942546465804,0.006514350034023561,0.0007740899669681819,-0.0032920720011880033,0.01989562181690926,0.0008222420606532092,-0.0008337326583523992,0.015453975926335996,0.0006108022597023776,0.03991263622075158,0.0,0.0,0.0,0.0021991417567344064,0.009798309745622624,-0.0029696015484829935,-0.0048776435987348465,-0.013941563899444832,0.0041263371830422635,0.0028692060575551434,-0.0007418131536505139,-0.005742405663817312,0.0032161738747739817,-0.000904285143383876,-0.0037293675950008155,-0.0005353902404726589,-0.0031284960937485768,0.0019813238290706994,0.005385198117575879,0.0001708959245416373,0.00891859803241314,-0.01636259906612982
0.06987937747130886,0.006032904116605134,0.0009248739995499727,0.000353794397732617,0.029656262569409023,-0.003099102020855924,0.016948449085173786,0.0013795132398579499,0.28137139405914496,0.018725352149237436,-0.0005955880232257885,0.017944776353717145,0.007703068993746888,-0.005584531669705422,-0.019132698339805142,0.0006782092479572345,0.0008547316301512546,0.013639334929396488,0.03431103464208553,0.008066841803790985,-0.005198817867161925,-0.013446569043545175,0.009639267384893785,0.03763834114386378,-0.008056241022426816,0.013681283909785963,0.005013287243790437,0.004909361484442848,-0.007139703249130582,0.016121457003273512,0.013387862180800396,0.002612018727584813,0.02598170847771962,0.0015529103605890719,-0.0009773802192729272,0.013338975891994195,-0.001652445775604654,0.0006202569817823245,-0.005636044492902349,0.0020081114797019244,0.0009507107975489725,-0.0002825942186344343,0.001046146113577874,-0.0015060438462974285,-0.0026249353493657417,-0.018364014649983076,0.004219831646372432,0.0004189661206397025,0.019739378766414926,0.004012828013252558,-0.0022924229007530595,-0.0034548145586858437,-0.0025706629241244736,0.0649875051103544,0.007049822371199141,0.00024311890901561995,0.0014149676822309753,0.022972481524849406,-0.03318978260574604,-0.0007803920434316212,-0.000998292031795638,-0.003601739901108911,-0.00042874446113141804,-0.03773070695383508,0.0,0.0,0.0,-0.0032439956012098453,-0.0010555782867397456,-0.0036825103013975453,0.004194360284452478,0.012217891882312957,0.005497540758841515,0.0018335771453925793,-0.0012957262587041337,0.027082817082935823,0.0054825673114448255,0.004335541048266259,0.004837879677428244,-0.0017223805324460292,0.00518313176839044,0.005777190745689606,0.01198132953887267,0.001283709647337497,0.013235295529233656,-0.0009190463045971595
0.21324958731354632,0.01538142109827363,0.0007286123026861236,-0.0011921458130816505,0.012710022695150947,0.013514915051092572,0.014716504925571366,0.001107660620257912,0.2380386911618614,0.01856114703601733,-0.002126613576397756,0.020299524874701227,-9.56629525859147e-06,-0.0017064275935458294,-0.013508442829481316,0.005763872685936069,0.00034443395951035415,0.016816744509472487,0.04493472208338087,-0.0030687572996064604,-0.0038000584332936907,-0.011607161855194404,0.006462518683740267,0.05298176714027038,-0.00520448668267105,0.014813299814599614,0.0029458027692844725,0.0014017010738226004,-0.0032839027506281087,0.02275360420958314,0.0021098969037772527,0.003874011924880414,0.033780127439848984,0.0016404366946124412,-0.00020767337967255865,0.009195197386418394,-0.0018742876656558654,0.0007784545865821,-0.0005747492724315012,0.001854135231218208,0.0008170608003780216,-0.0002606675973052693,0.00121721447912752,-0.0021991969034561684,-0.00046330224786767947,-0.013859497200354103,0.002969356751206916,0.0005583443145274923,0.0125864411457964,0.008645465228936028,0.004624287236471824,-0.002413968916735167,0.004022421159843017,0.0148855875540157,0.011306727915860876,0.0007682566663025476,-0.002125765570612097,0.013960933649962863,0.021009127805122776,-0.002398240960051829,0.0062805003026808436,-0.004803120855707355,-2.7063989125921846e-05,0.028348962366152967,0.0,0.0,0.0,-0.0012874328319533378,0.0021023012656279498,-0.0036633957649110003,0.0002918811670207306,0.013269633915604217,0.005145429282469484,0.0014845105874932527,-0.0002813642101038304,0.010885989075244662,-0.0007986040943311991,7.968033522343007e-05,-0.0008873551717778145,0.0006168860208055398,0.010408500308771811,0.004085463431755579,0.015384216455211331,-0.0013377031656436147,0.02039389704602099,-0.0005966750530385096
0.04963591735422785,-0.0007296473455899809,-0.0018514567344127548,6.049550850697676e-05,0.015597046782060548,0.010201304221115549,-0.02335588171865337,-0.010721276632596435,0.12052532893051256,0.009382165690959019,0.00035487654963773854,-0.006350855307726694,-0.000454555531162932,0.006202670429161735,-0.013359186902490485,-0.0020726921897855537,-0.0035449421329428687,0.010824199136133238,0.0003281730323031013,0.007590851156864462,0.0056797100631872524,-0.010790156148736326,0.008399357833897995,0.03332152536017012,-0.002814526057896971,-0.033720800617228715,0.004483239914894326,0.004850034493606131,-0.012496577911803893,0.001159113479207856,-0.00021510352988507746,-0.0017135602511375947,0.029873125017133198,-0.0013913013906351108,-0.008433793202803122,0.0020380860762777885,-0.00010916499328204327,-0.0007125803475266733,0.00013784009665651666,-0.0009648793117944281,-0.003940114390557161,-0.012164774818043754,-0.0005968053792012071,0.0006237699807696254,-0.017096370267437974,-0.011469824951465694,-0.0017348837429604655,-0.004316008978073425,-0.002576630589103296,0.008923552862027444,-0.003279418727170849,-0.004040664605768805,-0.015735945099083687,0.03776894591591718,-0.019032402438782216,-0.002039369904957152,-0.0026302396005919468,-0.07221575452378158,-0.06937655930527349,-0.0004506085293192095,-0.02037820023570173,-0.028348644419414096,0.0032465026775177113,-0.05030473004438129,0.0,0.0,0.0,0.0010506694041737823,-0.020283915619298504,-0.0011940800144380022,0.005794568023518416,-0.03018928923718264,-0.023937036370578427,-0.004225062356526639,-0.000436203995389755,0.010869654144767588,-0.0010252482560615872,0.0004299052910911677,0.0038165287240492186,-0.0013653271265629792,-0.002824409692259703,0.0014712510317895526,-0.000491660808627962,-0.004192489771097303,-0.009672066784575488,0.0009841863895590683
0.2748456902325537,0.012003072894083923,-0.004128124278839916,0.0029185897566738057,0.0032795249300501855,-0.01526467115888907,0.0052390664216339635,0.0006661066432617182,-0.21614892965447516,-0.05736606454798766,-0.0009820387884363806,0.03308084142737078,0.010038616529787724,0.007229071769818862,0.0630772097415698,0.006142295164990894,-0.0003421709512070075,-0.02268224305390274,-0.0499606938655309,0.007182545021432883,-0.005536654013979055,0.0061110859445752674,0.006604310967220156,-0.016780156276348476,0.0013831914772600023,0.004353979820973812,-0.004793641467013673,-0.0005308258862330655,0.005876406072461126,0.006436512007972621,0.006713006447101418,0.0009815468600409064,0.0287556503849393,-0.00011844381038166389,-0.002580846265377313,0.001436858008134094,0.002867499885363707,0.00622613152394286,-0.002868919533472501,0.03206907794033542,-0.0026565175727532755,-0.00027097478408246725,-0.00034380562709912716,0.0018165512281659232,-0.0012751017795972822,0.016667849467790465,0.01022927953868145,-0.00012972940457517317,0.004979820127676733,0.012083437430176439,0.005469929169003725,0.0032096094673186946,0.012000985663103862,0.05081795063844104,-0.01198637021207922,0.0003226632855194435,0.00683734937157364,0.0017280496303838013,0.0010240500074476455,-0.0008034245790654298,0.014473050382338778,0.01855415377149614,0.004284250288809879,0.03169770256924159,0.0,0.0,0.0,0.0014561878044808043,-0.00018982948219685452,0.012783823408143205,-0.00021172972284465587,0.004243502948880968,0.0018150020230787163,-0.002626521371664823,0.0016585780836914123,-0.006846283457085192,0.0038436033765662223,-0.004731404648486394,0.004051921950147506,-0.0013370762718493078,-0.011991305633487501,0.0027324648486113092,0.0007206452858301615,0.0023896218557964903,0.0019130766355268287,0.005313290807766766
-0.15905793556813844,0.002061061309195239,-0.015745333133855392,-0.0003620063009291743,-0.06901641351674692,-0.01760796401897638,0.0011061240651997356,-0.004033550152027312,0.1764859995972806,-0.0029449364473923424,-0.0020586368470768596,0.008881100457940811,-0.0008963247643540025,0.008410845979252766,-0.015858547310133964,-0.009785753955258061,-0.004412564609882012,-0.007791423844038369,0.001492047270145986,-0.0002564001379884335,-0.000536840221847379,0.0017103878537767672,-0.00756054848404256,0.021791466714478885,0.0003039986986517762,-0.04500664224622664,0.001544479902470581,0.0002579088361082526,-0.023559195854695774,-0.0230579691079732,-0.020879278708486694,0.0036440910775164363,-0.004014264602057237,0.00012697937634971159,-0.005339243235424859,-0.0063199658403486035,0.0002618359613654418,-1.5781226574533888e-05,-2.430187976075763e-05,0.0019086901727471011,-0.0008237461005627846,-0.0073299506095848635,0.0009185765567049616,-0.00026974687944780084,-0.002659428254475551,-0.0003080452542094341,0.00176391838021875,-0.004747601440736384,-0.0880532881009562,0.011440584535939864,-0.015465558990479867,0.003287350509081353,0.010321257314031948,0.05883276778885765,0.0011246732353602117,0.0007840367527296851,-0.005997609090049325,-0.0008241803943576504,-0.005517308820892025,0.0008088596725723202,0.030447122395694824,-0.00769681863739476,-0.008135728802078369,-0.019752642199948364,0.0,0.0,0.0,0.0015256120549780585,0.00646607096507817,0.003942863099193753,0.014118217724258345,-0.012602454868616443,-0.028623459638096302,-0.009909893950456574,0.002117145995618019,-0.0016625309101326962,-0.003690215017493674,0.0006953934021665403,0.016085068275942336,0.00034449496870506726,0.0006485568724909178,-0.011562999813188903,0.004645927639529041,0.0010913885989454794,-0.023892595207658254,0.000997454568409524
-0.06789423659945609,0.013902295370193656,-0.000543769288382864,0.00032574764302418656,0.014642034826695603,-0.010064023454476302,0.011277384510202534,0.0005808896345170766,0.30978652633619397,0.02130744114658156,-0.003842364357822414,0.014806484858277529,-0.00048676322491017564,0.01117067878946266,0.004329697995361739,0.0047586101537737254,-0.0012323438353747623,0.0031245559570452133,0.0323889462910311,-0.00014981027799919558,-0.004395171254241577,0.0022583025361637855,-0.006119135984493154,0.028399373070727013,0.00032119047178143494,0.01601434351820995,-0.002144544514534756,-0.0020322053073209977,-0.0038617466191602375,0.025646266475906947,0.005582586566934182,0.002488073955943342,0.018962969329394435,0.0016184614536223722,-0.004259505508290546,0.009388867444694136,1.7132777979196535e-05,0.0006381157798943216,-0.001368309896145446,0.0031289555797670136,0.0012025750488800675,0.006587449168888786,0.0015268530301655312,-0.0022651606654377253,-0.0015017592314989189,0.0004549122217716399,0.004484730921002798,0.0011085129469758021,0.010242540540400276,0.010565720857241433,0.01064553272217324,0.0029375743756978466,0.002233708796540159,-0.0603397427225701,0.014189882519736843,-0.0002286956824795182,0.006035179501191832,0.0189356048661034,0.033955937865051425,-0.000696075335517573,-0.0023945483317957036,0.011407189594966958,0.0032234972608054624,0.009160268170494533,0.0,0.0,0.0,0.0027210794610887617,-0.0038560038752488116,-0.004293046669922022,-0.0018973133937471535,0.009916303949348228,0.004954783593553158,0.0006879827419119545,-0.0006445028277555816,-0.006962138823557648,0.0002547061746389307,0.0028991109326584044,-0.002824107415761658,0.0003956969101309407,-0.006938767733261452,0.0017902329647745384,0.00666636085240403,-0.003116483857742644,0.025624460104531677,0.003917302912825307
0.23359944798157836,0.007902736523968959,-0.0010543173865124268,0.0012843014714884263,0.0054308399128014185,0.01327672026774395,0.015811199509329257,0.0013422481909979437,0.19958388494502136,-0.037663479013809356,-0.004981263012465693,0.0017280375731818652,0.004972708445977175,0.011382656239667763,-0.020995108703295635,-0.0024146341790563237,-0.0010097384056007067,-0.006536278765063536,-0.04375382955947133,-0.0029511512939838724,-0.007009899579661818,0.0044358286083205495,-0.014181574995150112,0.018873342820488647,0.0016676818818635907,0.007287356400251275,-0.001400125463530052,-0.0022165748979967063,-0.00907821316000252,0.023150436998931996,0.0011799356652849376,-0.0047998345113119,-0.018707556293894787,0.0004423708403516985,-0.014961671791780144,-0.002558348733102384,0.001934029970562964,0.00017346084746802093,-0.012310487768067221,-0.0076305540227688306,-0.0009890002932680644,-9.044060933861594e-05,-0.0005719082934499726,0.0022041570330160083,-0.0008356222424978699,0.00015594654091160502,0.0026793059735166942,7.470030052304713e-05,0.011467808707979149,0.010110054994434466,0.0024708224532731947,0.013306004737927616,0.014704646597193078,0.010602183793092423,0.014889523921049476,0.0009717451665703295,0.0022098035676747243,-0.007689578447299417,-0.029747392298003328,0.00423209285327019,0.018086261373936558,-0.013827433351368613,0.012261452685620587,0.021752497275456716,0.0,0.0,0.0,0.002117712035881252,0.0005552382017292632,0.003943007891661268,0.0006851174948161306,0.008933467063515643,0.0024505517362195172,-0.00023373683749057612,-0.0035918673414760158,-0.005628650201294178,0.0049452963109724675,-0.001468501820613825,-0.0005176442823581565,-0.0025929506806416282,0.005533594392630678,-0.0006904189602443727,0.010830741203660723,0.0009268826383897535,0.0010438829742068698,0.0014288185787496514
