model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L3,0.9927215189873418,roc_auc,2.6698241233825684,70.27152729034424,0.00036406517028808594,0.014943122863769531,3,True,8
WeightedEnsemble_L2,0.9925632911392406,roc_auc,2.630948781967163,5.44617486000061,0.00030922889709472656,0.014211893081665039,2,True,4
XGBoost_BAG_L1,0.9911392405063291,roc_auc,0.015227794647216797,1.4346959590911865,0.015227794647216797,1.4346959590911865,1,True,3
LightGBM_BAG_L1,0.9893987341772152,roc_auc,2.6154117584228516,3.997267007827759,2.6154117584228516,3.997267007827759,1,True,1
CatBoost_BAG_L2,0.9876582278481012,roc_auc,2.6694600582122803,70.25658416748047,0.019982099533081055,54.49529027938843,2,True,6
LightGBM_BAG_L2,0.986867088607595,roc_auc,5.33734130859375,19.902249813079834,2.687863349914551,4.140955924987793,2,True,5
CatBoost_BAG_L1,0.9854430379746835,roc_auc,0.01883840560913086,10.329330921173096,0.01883840560913086,10.329330921173096,1,True,2
XGBoost_BAG_L2,0.9845727848101266,roc_auc,2.668509006500244,17.042749643325806,0.019031047821044922,1.2814557552337646,2,True,7
